region,occupation,year,value,id,occupation_id
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2014,-523,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2004,-954,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2005,-854,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2009,-535,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2008,-663,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2007,-555,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2010,-486,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2011,-734,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2015,-703,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2012,-753,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2013,-475,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2002,-1652,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2016,-827,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2001,-1273,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2003,-559,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2000,-1370,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2006,-379,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2017,-873,KZ-VOS,tech
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2014,-635,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2004,-763,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2007,-568,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2013,-399,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2010,-384,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2005,-598,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2012,-671,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2008,-555,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2009,-440,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2002,-1204,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2011,-720,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2015,-711,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2016,-598,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2001,-1107,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2003,-565,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2000,-1068,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2006,-340,KZ-VOS,other
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2017,-521,KZ-VOS,other
