"name","house_url","price","district","developer","class","building","flat","parking","technology","height","yard","floor","otdelka","min_area","building_rate","height_norm","aream_norm","flat_rate"
"ЖК Alma City","www.alma-city.com","180000","Наурызбайский р-н","Qazaq Stroy",4,36,720,2,3,2.85,2,9,2,35,1.6125,0.242857142857143,0.0791666666666667,0.933134920634921
"ЖК Алма Тау","www.almatauhome.kz","270000","Бесагаш","ЭлитСтрой",4,12,1000,2,3,2.8,1,9,1,16,2.16766666666667,0.228571428571428,0,1.33968253968254
"ЖК Хан Тенгри","www.khan-tengri.kz","322320","Наурызбайский р-н","ЭлитСтрой",3,54,2200,2,3,2.8,1,10,4,34,2.18563973063973,0.228571428571428,0.075,0.653571428571428
"ЖК Карлыгаш","www.karligash.kz","210000","Каскелен","Фирма Еламан",3,31,114,2,3,3,NA,9,1,42,1.20769666100736,0.285714285714286,0.108333333333333,1.50515873015873
"ЖК Gulder","www.sales.bi-group.org","263000","Наурызбайский р-н","BI Group",3,8,1500,2,3,2.7,1,16,2,35,2.29233333333333,0.2,0.0791666666666667,0.841666666666667
"ЖК Нурия","www.nuria.kz","220000","Бесагаш","Артемида ЛТД",3,6,936,2,3,2.7,2,9,4,46,1.83440170940171,0.2,0.125,0.686111111111111
"ЖК Gres Park",NA,"229000","Отеген Батыр","Domus Qazaqstan",3,6,150,2,3,2.75,1,3,1,40,2.34,0.214285714285714,0.1,1.64761904761905
"ЖК Balsu Lux","www.balsu-lux.kz","220000","Капшагай","Термомакс ЛСТК",3,6,90,2,3,3,1,3,1,49,2.34444444444444,0.285714285714286,0.1375,1.75654761904762
"ЖК Nomad City","www.nomadcity.kz","340000","Турксибский р-н","Myntas Stroi",3,36,324,2,2,3,1,3,1,40,2.3641975308642,0.285714285714286,0.1,1.71904761904762
"ЖК TERRA","www.terra-tau.kz","530000","Бостандыкский р-н","Tau Development",3,5,764,2,3,2.85,NA,16,1,48,1.36797556719023,0.242857142857143,0.133333333333333,1.43869047619048
"ЖК Айнабулак","www.ainabulak.kz","250000","Жетысуский р-н","ТОО ЖВК",4,3,216,2,3,2.8,2,9,4,42,1.9212962962963,0.228571428571428,0.108333333333333,0.698015873015873
"ЖК Молодежный","www.molodezhny.kz","390000","Алмалинский р-н","Темир Пром XXI",4,2,400,2,3,2.8,1,12,4,27,2.58583333333333,0.228571428571428,0.0458333333333333,0.607738095238095
"ЖК Оркен",NA,"390000","Не задан","Ер-Ай Констракшн",4,2,121,2,3,2.85,NA,12,2,37,1.59159779614325,0.242857142857143,0.0875,0.913690476190476
"ЖК Alatau City","www.alataucity.kz","255000","Алатауский р-н","Exclusive Qurylys",3,41,1056,1,3,2.7,2,12,1,44,2.19200388026608,0.2,0.116666666666667,1.4
"ЖК Акварель","www.akvarel.bazis.kz","387000","Бостандыкский р-н","BAZIS-А",3,28,2000,1,3,2.74,1,12,3,48,2.70288095238095,0.211428571428571,0.133333333333333,0.761428571428571
"ЖК Atlant","www.atlant.novec.kz","340000","Алмалинский р-н","NOVEC",3,12,713,1,3,2.7,NA,13,2,39,1.75140252454418,0.2,0.0958333333333333,0.87275641025641
"ЖК 12 месяцев","www.m12.kz","280000","Алмалинский р-н","Qazaq Stroy",3,12,432,1,3,2.8,1,13,4,41,2.75231481481481,0.228571428571428,0.104166666666667,0.659661172161172
"ЖК Аспан Сити","www.aspancity.kz","225000","Не задан","Exclusive Qurylys",3,11,944,1,3,2.7,1,12,1,40,2.75863507960966,0.2,0.1,1.38333333333333
"ЖК Terracotta","www.qazaqstroy.kz","320000","Бостандыкский р-н","Qazaq Stroy",3,10,476,1,3,3,1,18,4,42,2.7687675070028,0.285714285714286,0.108333333333333,0.699603174603175
"ЖК Ush Qonyr","www.ush-qonyr.kz","380000","Медеуский р-н","Best Craft",3,9,519,1,3,2.75,NA,16,4,42,1.77970456005138,0.214285714285714,0.108333333333333,0.635119047619048
"ЖК Element","www.baziselement.kz","478000","Бостандыкский р-н","BAZIS-А",3,8,618,1,3,2.9,1,12,3,37,2.79328478964401,0.257142857142857,0.0875,0.761309523809524
"ЖК Lake Town","www.laketown.bi-group.org","358500","Алмалинский р-н","BI Group",3,8,596,1,3,2.7,1,21,1,42,2.79334451901566,0.2,0.108333333333333,1.35595238095238
"ЖК Панорама","www.panoramadom.kz","340000","Алмалинский р-н","Exclusive Qurylys",3,8,417,1,3,2.8,1,13,1,50,2.79406474820144,0.228571428571428,0.141666666666667,1.44716117216117
"ЖК Өркендеу","www.orkendeu.kz","375000","Бостандыкский р-н","Халык Актив",3,6,306,1,3,2.75,2,21,1,62,2.33660130718954,0.214285714285714,0.191666666666667,1.45357142857143
"ЖК Palladium","www.vek-palladium.kz","460000","Алмалинский р-н","Корпорация ВЕК",3,5,230,1,3,2.75,1,12,2,30,2.87101449275362,0.214285714285714,0.0583333333333333,0.855952380952381
"ЖК Koktobe City","www.koktobecity.kz","540000","Медеуский р-н","Kusto Group",2,24,266,1,3,3,1,4,2,43,2.87875939849624,0.285714285714286,0.1125,1.14821428571429
"ЖК Sakura","www.sakurahome.kz","495000","Бостандыкский р-н","Рамс Казахстан",1,21,600,2,3,3.3,NA,6,2,38,1.88261904761905,0.371428571428571,0.0916666666666667,1.1297619047619
"ЖК Alatau Golf Residences","www.alatau-home.kz","360000","Наурызбайский р-н","Cordial Construction",2,14,280,1,3,3.2,1,5,2,47,2.90833333333333,0.342857142857143,0.129166666666667,1.17202380952381
"ЖК Dragon City",NA,"318128","Жетысуский р-н","Эдем ЛТД",4,3,592,1,3,2.8,1,8,4,37,2.91835585585586,0.228571428571428,0.0875,0.691071428571428
"ЖК Basenova 10","www.basenova10.bazis.kz",NA,"Бостандыкский р-н","BAZIS-А",3,4,264,1,3,3,2,12,3,49,2.42045454545454,0.285714285714286,0.1375,0.839880952380952
"ЖК Евразия","www.eurasiadom.kz","446000","Алмалинский р-н","Евразия Строй LLP",2,11,660,1,3,2.7,1,16,4,53,2.92575757575758,0.2,0.154166666666667,0.666666666666667
"ЖК AFD Plaza","www.afd.kz","632832","Бостандыкский р-н","Global Building Contract",2,10,760,1,3,2.8,NA,21,2,45,1.93464912280702,0.228571428571428,0.120833333333333,0.897023809523809
"ЖК Тау Шатыр","www.taushatyr.kz","455783","Медеуский р-н","KazBuild Development",2,8,340,1,3,3.5,1,7,2,67,2.96127450980392,0.428571428571429,0.2125,1.28392857142857
"ЖК Famous Town","www.aq-invest.kz","385000","Бостандыкский р-н","Almaty Qurylys Invest",3,9,57,1,2,3.3,1,3,4,59,2.96198830409357,0.371428571428571,0.179166666666667,1.13392857142857
"ЖК Forum Residence","www.forum-residence.kz","485000","Бостандыкский р-н","Рамс Казахстан",2,6,312,1,3,3,NA,10,2,40,2.00320512820513,0.285714285714286,0.1,0.985714285714286
"ЖК Assem Plaza",NA,"370000","Алмалинский р-н","Диал-Строй",3,3,240,1,3,2.8,NA,16,2,35,2.00416666666667,0.228571428571428,0.0791666666666667,0.870238095238095
"ЖК Central Avenue","www.central-avenue.bi-group.org","520000","Бостандыкский р-н","BI Group",2,5,878,1,3,3,1,21,2,45,3.03447228549734,0.285714285714286,0.120833333333333,0.954166666666667
"ЖК Восточный Парк","www.vpark.kz","488000","Медеуский р-н","Рамс Казахстан",2,4,436,1,3,2.8,NA,12,2,45,2.08562691131498,0.228571428571428,0.120833333333333,0.932738095238095
"ЖК Varlamova","www.novostroyki.kz","402000","Алмалинский р-н","Поток-8",2,3,360,1,3,3,NA,12,4,44,2.16944444444444,0.285714285714286,0.116666666666667,0.735714285714286
"ЖК Lamiya","www.lamiya-rams.kz","480000","Алмалинский р-н","Рамс Казахстан",2,3,335,1,3,2.9,1,13,2,30,3.16965174129353,0.257142857142857,0.0583333333333333,0.892399267399267
"ЖК на Ташкентской","www.jknatashkentskoy.kz","360000","Алмалинский р-н","MTS Company LTD",3,2,244,1,3,2.7,1,16,2,36,3.1707650273224,0.2,0.0833333333333333,0.845833333333333
