"name"	"effective_year"	"region"	"comment"	"participant"	"initiator"	"id"	"photo"	"position"
"Абайдильдин Талгатбек Жамшитович"	"2005—2017"	"ВКО"	"Избран от Восточно-Казахстанской области в 2005 и 2011 годах[5]"	0	0	NA	NA	NA
"Абдикеров Рыскали Калиакбарович"	"2017—"	"Карагандиская"	"Избран от Карагандинской области в 2017 году[6]"	34	8	"/ru-RU/blog/5/biography"	"/storage/512d00f602fe4f3c961457d30250d28a.jpg?w=200"	"Член комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Абыкаев Нуртай Абыкаевич"	"2004—2007, 2015—2017"	"Указ"	"Назначен указом президента 25 декабря 2015 года[7]"	0	0	NA	NA	NA
"Адильбеков Даурен Зекенович"	"2017—"	"Акмолинская"	"Избран от Акмолинской области в 2017 году[6]"	7	6	"/ru-RU/blog/32/biography"	"/storage/f792f97d80504b4e8640f3dcc03e1d91.jpg?w=200"	"Секретарь Комитета по экономической политике, инновационному развитию и предпринимательству"
"Адырбеков Икрам Адырбекович"	"2011—2017"	"Указ"	"Назначен указом президента в 2011 году[8]"	0	0	NA	NA	NA
"Айтаханов Куаныш Айтаханулы"	"2005—2017"	"ЮКО"	"Избран от Южно-Казахстанской (сейчас — Туркестанской) области в 2005 и 2011 годах[9]"	0	0	NA	NA	NA
"Айтимова Бырганым Сариевна"	"1996, 2013—2019"	"Указ"	"Назначена указом президента в 2013 году[10]"	21	12	NA	NA	NA
"Айтпаева Сауле Муханбедиановна"	"2017—"	"Указ"	"Назначена указом президента в 2017 году[11]"	21	12	"/ru-RU/blog/50/biography"	"/storage/bce276dd89444d3991cca93c740e141f.jpg?w=200"	"Член комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Акимов Рашит Каиржанович"	"2014—"	"Акмолинская"	"Избран от Акмолинской области в 2014 году[12]"	19	1	"/ru-RU/blog/52/biography"	"/storage/6b8b15b655b340eca2a6cbb6eac03d48.jpg?w=200"	"Секретарь Комитета по аграрным вопросам, природопользованию и развитию сельских территорий"
"Акылбай Серик Байсеитулы"	"2005—2017"	"Карагандиская"	"Избран от Карагандинской области в 2005 и 2011 годах[5]"	0	0	NA	NA	NA
"Алтынбаев Мухтар Капашевич"	"2010—2017"	"Указ"	"Назначен указом президента 8 апреля 2010 года[13]"	0	0	NA	NA	NA
"Астаев Ертаргын Какимбекович"	"2011—2017"	"Жамбылская"	"Избран от Жамбылской области в 2011 году[5]"	0	0	NA	NA	NA
"Ахметов Рашит Сайранович"	"1999—2017"	"ЗКО"	"Избран от Западно-Казахстанской области в 2005 и 2011 годах[5]"	0	0	NA	NA	NA
"Бактиярулы Мурат"	"2011—"	"Кызылординская"	"Избран от Кызылординской области в 2011 и 2017 годах[6]"	21	10	"/ru-RU/blog/144/biography"	"/storage/ea5b7139bea84a75bbe53837202d23a0.png?w=200"	"Председатель комитета по социально-культурному развитию и науке"
"Бейсенбаев Аскар Асанович"	"2013—2019"	"Указ"	"Назначен указом президента в 2013 году[10]"	37	2	NA	NA	NA
"Бекназаров Бектас Абдыханович"	"2014—"	"Указ"	"Назначен указом президента 11 августа 2014 года[14]"	1	0	"/ru-RU/blog/170/biography"	"/storage/f55b4a42e3e5441690abc5c76f6e16dc.jpg?w=200"	"Заместитель Председателя Сената Парламента Республики Казахстан"
"Бекназаров Нурлан Кудиярович"	"2018—"	"Шымкент"	"Избран от города Шымкента в 2018 году[15]"	6	0	"/ru-RU/blog/921/biography"	"/storage/b5ab522a76c04845a83b6788b5f3e948.jpg?w=200"	"Член комитета по конституционному законодательству, судебной системе и правоохранительным органам"
